id,kpi_ids/id,code,description,report_mode,name
mis_report_dfc,mis_report_kpi_183,dfc,Demonstração de Fluxo de Caixa,Contábil,DFC
,mis_report_kpi_186,,,,
,mis_report_kpi_188,,,,
,mis_report_kpi_189,,,,
,mis_report_kpi_190,,,,
,mis_report_kpi_191,,,,
,mis_report_kpi_192,,,,
,mis_report_kpi_193,,,,
,mis_report_kpi_194,,,,
,mis_report_kpi_195,,,,
,mis_report_kpi_196,,,,
,mis_report_kpi_197,,,,
,mis_report_kpi_198,,,,
,mis_report_kpi_199,,,,
,mis_report_kpi_200,,,,
,mis_report_kpi_201,,,,
,mis_report_kpi_202,,,,
,mis_report_kpi_203,,,,
,mis_report_kpi_204,,,,
,mis_report_kpi_205,,,,
,mis_report_kpi_206,,,,
,mis_report_kpi_207,,,,
,mis_report_kpi_208,,,,
,mis_report_kpi_209,,,,
,mis_report_kpi_210,,,,
,mis_report_kpi_211,,,,
,mis_report_kpi_212,,,,
,mis_report_kpi_213,,,,
,mis_report_kpi_214,,,,
,mis_report_kpi_215,,,,
,mis_report_kpi_216,,,,
mis_report_dva,mis_report_kpi_248,dva,Demonstração de Valor Acionado,Contábil,DVA
,mis_report_kpi_267,,,,
,mis_report_kpi_268,,,,
,mis_report_kpi_269,,,,
,mis_report_kpi_270,,,,
,mis_report_kpi_271,,,,
,mis_report_kpi_272,,,,
,mis_report_kpi_273,,,,
,mis_report_kpi_274,,,,
,mis_report_kpi_275,,,,
,mis_report_kpi_276,,,,
,mis_report_kpi_277,,,,
,mis_report_kpi_278,,,,
,mis_report_kpi_279,,,,
,mis_report_kpi_280,,,,
,mis_report_kpi_281,,,,
,mis_report_kpi_282,,,,
,mis_report_kpi_283,,,,
,mis_report_kpi_284,,,,
,mis_report_kpi_285,,,,
,mis_report_kpi_286,,,,
,mis_report_kpi_287,,,,
,mis_report_kpi_288,,,,
,mis_report_kpi_289,,,,
,mis_report_kpi_290,,,,
,mis_report_kpi_291,,,,
,mis_report_kpi_292,,,,
,mis_report_kpi_293,,,,
,mis_report_kpi_294,,,,
,mis_report_kpi_295,,,,
,mis_report_kpi_296,,,,
,mis_report_kpi_297,,,,
,mis_report_kpi_298,,,,
,mis_report_kpi_299,,,,
,mis_report_kpi_300,,,,
