id,description,style_id/id,expression_mode,css_style,incluir_lancamentos_de_fechamento,invert_signal,column_break,expression,name,expression_type,column_title
mis_report_kpi_183,Fluxos de Caixa das Atividades Operacionais,,Formula,,False,False,True,"""""",fluxos_de_caixa_das_atividades_o,Saldo no período,True
mis_report_kpi_186,Lucro/Prejuízo do Exercicio,mis_report_style_negrito,Formula,,False,False,False,dre.resultado_liquido_do_periodo,lucro_prejuizo_do_exercicio,Saldo no período,False
mis_report_kpi_188,Ajustes para conciliar o Resultado e as Disponibilidades Geradas pelas Atividades Operacionais,,Formula,,False,False,False,"""""",ajustes_para_conciliar_o_resulta,Saldo no período,False
mis_report_kpi_189,Juros (taxa Selic) sobre dividendos e/ou JCP distribuídos,,Formula,,False,False,False,"bal[2.1.1.5.02.0001,2.1.1.5.02.0003][('move_id.lancamento_de_fechamento', '=', False)]",dividendos_selic_jcp,Saldo no período,False
mis_report_kpi_190,Ganho/Perda na doação de ativos imobilizados,,Formula,,False,False,False,10821.119884,doacao_ativos_imobilizados,Saldo no período,False
mis_report_kpi_191,Depreciação/Amortização/Ajuste Vr. Recuperavel,,Formula,,False,False,False,"bal[4.1.5][('move_id.lancamento_de_fechamento', '=', False)]",daa_vr_recuperavel,Saldo no período,False
mis_report_kpi_192,Variações nos ativos,mis_report_style_negrito,Formula,,False,False,False,"""""",variacoes_nos_ativos,Saldo no período,False
mis_report_kpi_193,(Aumento) redução de contas a receber de clientes,,Formula,,False,False,False,"-bal[1.1.2.0][('move_id.lancamento_de_fechamento', '=', False)]",aum_redu_contas_receber_clientes,Saldo no período,False
mis_report_kpi_194,(Aumento) redução de tributos a Recuperar,,Formula,,False,False,False,"-bal[1.1.4][('move_id.lancamento_de_fechamento', '=', False)]",aum_redu_tributos_recuperar,Saldo no período,False
mis_report_kpi_195,(Aumento) redução de outros Créditos,,Formula,,False,False,False,"-bal[1.1.2,1.1.3,1.1.5,1.1.6][('move_id.lancamento_de_fechamento', '=', False)] + bal[1.1.2.0][('move_id.lancamento_de_fechamento', '=', False)]",aum_red_outros_creditos,Saldo no período,False
mis_report_kpi_196,Variações nos passivos,mis_report_style_negrito,Formula,,False,False,False,"""""",variacoes_passivos,Saldo no período,False
mis_report_kpi_197,Aumento (redução) de fornecedores/contas a pagar,,Formula,,False,False,False,"-bal[2.1.1.3, 2.1.1.5.09][('move_id.lancamento_de_fechamento', '=', False)]",aum_redu_fornec_contas_a_pagar,Saldo no período,False
mis_report_kpi_198,Aumento (redução) de obrigações trabalhistas e sociais,,Formula,,False,False,False,"-bal[2.1.1.1,2.1.1.2][('move_id.lancamento_de_fechamento', '=', False)]",aum_redu_obrigacoes_trab_sociais,Saldo no período,False
mis_report_kpi_199,Aumento (redução) de obrigações fiscais e tributárias,,Formula,,False,False,False,"-bal[2.1.1.4,2.1.1.8,2.1.1.8][('move_id.lancamento_de_fechamento', '=', False)]",aum_redu_obrigacoes_fisca_tribut,Saldo no período,False
mis_report_kpi_200,Caixa líquido gerado pelas (aplicado nas) atividades operacionais,mis_report_style_negrito,Formula,,False,False,False,lucro_prejuizo_do_exercicio + dividendos_selic_jcp + doacao_ativos_imobilizados + daa_vr_recuperavel + aum_redu_contas_receber_clientes + aum_redu_tributos_recuperar + aum_red_outros_creditos + aum_redu_fornec_contas_a_pagar + aum_redu_obrigacoes_trab_sociais + aum_redu_obrigacoes_fisca_tribut,cx_liq_gerado_aplicado_ativ_oper,Saldo no período,False
mis_report_kpi_201,Fluxo de Caixa das Atividades de Investimentos,mis_report_style_negrito,Formula,,False,False,False,"""""",fluxo_de_caixa_das_atividades_de,Saldo no período,False
mis_report_kpi_202,Valor recebido pelas cotas do FGHab,,Formula,,False,False,False,"-bal[1.2.2.1.02.0001][('move_id.lancamento_de_fechamento', '=', False)]+bal[1.2.2.2.01.0001][('move_id.lancamento_de_fechamento', '=', False)]",valor_recebido_cotas_fghab,Saldo no período,False
mis_report_kpi_203,Aquisição (Resgate) de Cotas do FGIE,,Formula,,False,False,False,0,aquisicao_resgate_cotas_fgie,Saldo no período,False
mis_report_kpi_204,Aquisição de imobilizado e intangível,,Formula,,False,False,False,"-bal[1.2.3,4.1.5][('move_id.lancamento_de_fechamento', '=', False)]",aquisicao_imobilizado_intangivel,Saldo no período,False
mis_report_kpi_205,Caixa líquido aplicado nas atividades de investimentos,mis_report_style_negrito,Formula,,False,False,False,aquisicao_resgate_cotas_fgie + aquisicao_imobilizado_intangivel + valor_recebido_cotas_fghab,cx_liqui_aplic_ativ_investimento,Saldo no período,False
